Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2021-07-01,0.00853,0.00853,0.00853,0.00853
2021-07-02,0.00855,0.00855,0.00855,0.00855
2021-07-05,0.00885,0.00885,0.00885,0.00885
2021-07-06,0.00887,0.00887,0.00887,0.00887
2021-07-07,0.00937,0.00937,0.00937,0.00937
2021-07-08,0.00957,0.00957,0.00957,0.00957
2021-07-09,0.00958,0.00958,0.00958,0.00958
2021-07-12,0.01009,0.01009,0.01009,0.01009
2021-07-13,0.01019,0.01019,0.01019,0.01019
2021-07-14,0.01031,0.01031,0.01031,0.01031
2021-07-15,0.01035,0.01035,0.01035,0.01035
2021-07-16,0.01038,0.01038,0.01038,0.01038
2021-07-19,0.01059,0.01059,0.01059,0.01059
2021-07-20,0.01082,0.01082,0.01082,0.01082
2021-07-21,0.01082,0.01082,0.01082,0.01082
2021-07-22,0.01083,0.01083,0.01083,0.01083
2021-07-23,0.01085,0.01085,0.01085,0.01085
2021-07-26,0.0109,0.0109,0.0109,0.0109
2021-07-27,0.01092,0.01092,0.01092,0.01092
2021-07-28,0.01092,0.01092,0.01092,0.01092
2021-07-29,0.01091,0.01091,0.01091,0.01091
2021-07-30,0.01095,0.01095,0.01095,0.01095
2021-08-02,0.01135,0.01135,0.01135,0.01135
2021-08-03,0.01131,0.01131,0.01131,0.01131
2021-08-04,0.01129,0.01129,0.01129,0.01129
2021-08-05,0.01129,0.01129,0.01129,0.01129
2021-08-06,0.01126,0.01126,0.01126,0.01126
2021-08-09,0.01114,0.01114,0.01114,0.01114
2021-08-10,0.01112,0.01112,0.01112,0.01112
2021-08-11,0.01113,0.01113,0.01113,0.01113
2021-08-12,0.01114,0.01114,0.01114,0.01114
2021-08-13,0.01114,0.01114,0.01114,0.01114
2021-08-16,0.01122,0.01122,0.01122,0.01122
2021-08-17,0.01127,0.01127,0.01127,0.01127
2021-08-18,0.0113,0.0113,0.0113,0.0113
2021-08-19,0.01131,0.01131,0.01131,0.01131
2021-08-20,0.01132,0.01132,0.01132,0.01132
2021-08-23,0.01139,0.01139,0.01139,0.01139
2021-08-24,0.01143,0.01143,0.01143,0.01143
2021-08-25,0.01152,0.01152,0.01152,0.01152
2021-08-26,0.01157,0.01157,0.01157,0.01157
2021-08-27,0.01161,0.01161,0.01161,0.01161
2021-08-30,0.01167,0.01167,0.01167,0.01167
2021-08-31,0.01169,0.01169,0.01169,0.01169
2021-09-01,0.01191,0.01191,0.01191,0.01191
2021-09-02,0.01195,0.01195,0.01195,0.01195
2021-09-03,0.01199,0.01199,0.01199,0.01199
2021-09-06,0.01197,0.01197,0.01197,0.01197
2021-09-07,0.01195,0.01195,0.01195,0.01195
2021-09-08,0.01192,0.01192,0.01192,0.01192
2021-09-09,0.0119,0.0119,0.0119,0.0119
2021-09-10,0.0119,0.0119,0.0119,0.0119
2021-09-13,0.01189,0.01189,0.01189,0.01189
2021-09-14,0.01188,0.01188,0.01188,0.01188
2021-09-15,0.01184,0.01184,0.01184,0.01184
2021-09-16,0.01184,0.01184,0.01184,0.01184
2021-09-17,0.01184,0.01184,0.01184,0.01184
2021-09-20,0.01183,0.01183,0.01183,0.01183
2021-09-21,0.01187,0.01187,0.01187,0.01187
2021-09-22,0.01184,0.01184,0.01184,0.01184
2021-09-23,0.01182,0.01182,0.01182,0.01182
2021-09-24,0.01184,0.01184,0.01184,0.01184
2021-09-27,0.01169,0.01169,0.01169,0.01169
2021-09-28,0.0117,0.0117,0.0117,0.0117
2021-09-29,0.01175,0.01175,0.01175,0.01175
2021-09-30,0.01179,0.01179,0.01179,0.01179
2021-10-01,0.01185,0.01185,0.01185,0.01185
2021-10-04,0.01201,0.01201,0.01201,0.01201
2021-10-05,0.01203,0.01203,0.01203,0.01203
2021-10-06,0.01198,0.01198,0.01198,0.01198
2021-10-07,0.01196,0.01196,0.01196,0.01196
2021-10-08,0.01222,0.01222,0.01222,0.01222
2021-10-11,0.01376,0.01376,0.01376,0.01376
2021-10-12,0.01412,0.01412,0.01412,0.01412
2021-10-13,0.01465,0.01465,0.01465,0.01465
2021-10-14,0.01499,0.01499,0.01499,0.01499
2021-10-15,0.01536,0.01536,0.01536,0.01536
2021-10-18,0.01794,0.01794,0.01794,0.01794
2021-10-19,0.01885,0.01885,0.01885,0.01885
2021-10-20,0.01961,0.01961,0.01961,0.01961
2021-10-21,0.02036,0.02036,0.02036,0.02036
2021-10-22,0.02113,0.02113,0.02113,0.02113
2021-10-25,0.02264,0.02264,0.02264,0.02264
2021-10-26,0.02328,0.02328,0.02328,0.02328
2021-10-27,0.02376,0.02376,0.02376,0.02376
2021-10-28,0.02423,0.02423,0.02423,0.02423
2021-10-29,0.02471,0.02471,0.02471,0.02471
2021-11-02,0.027,0.027,0.027,0.027
2021-11-03,0.02754,0.02754,0.02754,0.02754
2021-11-04,0.02822,0.02822,0.02822,0.02822
2021-11-05,0.03261,0.03261,0.03261,0.03261
2021-11-08,0.04573,0.04573,0.04573,0.04573
2021-11-09,0.05025,0.05025,0.05025,0.05025
2021-11-10,0.05491,0.05491,0.05491,0.05491
2021-11-12,0.06341,0.06341,0.06341,0.06341
2021-11-15,0.07608,0.07608,0.07608,0.07608
2021-11-16,0.08023,0.08023,0.08023,0.08023
2021-11-17,0.08549,0.08549,0.08549,0.08549
2021-11-18,0.0898,0.0898,0.0898,0.0898
2021-11-19,0.09429,0.09429,0.09429,0.09429
2021-11-22,0.10723,0.10723,0.10723,0.10723
2021-11-23,0.11126,0.11126,0.11126,0.11126
2021-11-24,0.11702,0.11702,0.11702,0.11702
2021-11-25,0.12177,0.12177,0.12177,0.12177
2021-11-26,0.12635,0.12635,0.12635,0.12635
2021-11-29,0.1396,0.1396,0.1396,0.1396
2021-11-30,0.14297,0.14297,0.14297,0.14297
2021-12-01,0.15076,0.15076,0.15076,0.15076
2021-12-02,0.15791,0.15791,0.15791,0.15791
2021-12-03,0.16374,0.16374,0.16374,0.16374
2021-12-06,0.17994,0.17994,0.17994,0.17994
2021-12-07,0.18621,0.18621,0.18621,0.18621
2021-12-08,0.19058,0.19058,0.19058,0.19058
2021-12-09,0.19481,0.19481,0.19481,0.19481
2021-12-10,0.20167,0.20167,0.20167,0.20167
2021-12-13,0.22092,0.22092,0.22092,0.22092
2021-12-14,0.23013,0.23013,0.23013,0.23013
2021-12-15,0.23698,0.23698,0.23698,0.23698
2021-12-16,0.24379,0.24379,0.24379,0.24379
2021-12-17,0.25065,0.25065,0.25065,0.25065
2021-12-20,0.26876,0.26876,0.26876,0.26876
