Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-01-02,1.267,1.267,1.267,1.267
2019-01-03,1.216,1.216,1.216,1.216
2019-01-04,1.233,1.233,1.233,1.233
2019-01-07,1.354,1.354,1.354,1.354
2019-01-08,1.305,1.305,1.305,1.305
2019-01-09,1.332,1.332,1.332,1.332
2019-01-10,1.317,1.317,1.317,1.317
2019-01-11,1.262,1.262,1.262,1.262
2019-01-14,1.225,1.225,1.225,1.225
2019-01-15,1.194,1.194,1.194,1.194
2019-01-16,1.195,1.195,1.195,1.195
2019-01-17,1.087,1.087,1.087,1.087
2019-01-18,1.001,1.001,1.001,1.001
2019-01-21,0.84,0.84,0.84,0.84
2019-01-22,1.003,1.003,1.003,1.003
2019-01-23,0.76,0.76,0.76,0.76
2019-01-24,0.662,0.662,0.662,0.662
2019-01-25,0.656,0.656,0.656,0.656
2019-01-28,0.712,0.712,0.712,0.712
2019-01-29,0.716,0.716,0.716,0.716
2019-01-30,1.006,1.006,1.006,1.006
2019-01-31,0.913,0.913,0.913,0.913
2019-02-01,1.266,1.266,1.266,1.266
2019-02-04,1.236,1.236,1.236,1.236
2019-02-05,1.264,1.264,1.264,1.264
2019-02-06,1.242,1.242,1.242,1.242
2019-02-07,1.253,1.253,1.253,1.253
2019-02-08,1.246,1.246,1.246,1.246
2019-02-11,1.326,1.326,1.326,1.326
2019-02-12,1.392,1.392,1.392,1.392
2019-02-13,1.346,1.346,1.346,1.346
2019-02-14,1.324,1.324,1.324,1.324
2019-02-15,1.247,1.247,1.247,1.247
2019-02-18,1.276,1.276,1.276,1.276
2019-02-19,1.236,1.236,1.236,1.236
2019-02-20,1.28,1.28,1.28,1.28
2019-02-21,1.295,1.295,1.295,1.295
2019-02-22,1.174,1.174,1.174,1.174
2019-02-25,0.884,0.884,0.884,0.884
2019-02-26,0.789,0.789,0.789,0.789
2019-02-27,1.137,1.137,1.137,1.137
2019-02-28,0.885,0.885,0.885,0.885
2019-03-01,1.288,1.288,1.288,1.288
2019-03-04,1.288,1.288,1.288,1.288
2019-03-05,1.312,1.312,1.312,1.312
2019-03-06,1.333,1.333,1.333,1.333
2019-03-07,1.305,1.305,1.305,1.305
2019-03-08,1.361,1.361,1.361,1.361
2019-03-11,1.259,1.259,1.259,1.259
2019-03-12,1.335,1.335,1.335,1.335
2019-03-13,1.316,1.316,1.316,1.316
2019-03-14,1.31,1.31,1.31,1.31
2019-03-15,1.282,1.282,1.282,1.282
2019-03-18,1.308,1.308,1.308,1.308
2019-03-19,1.307,1.307,1.307,1.307
2019-03-20,1.296,1.296,1.296,1.296
2019-03-21,1.336,1.336,1.336,1.336
2019-03-22,1.23,1.23,1.23,1.23
2019-03-25,1.167,1.167,1.167,1.167
2019-03-26,1.131,1.131,1.131,1.131
2019-03-27,1.277,1.277,1.277,1.277
2019-03-28,1.227,1.227,1.227,1.227
2019-03-29,0.822,0.822,0.822,0.822
2019-04-01,1.223,1.223,1.223,1.223
2019-04-02,1.27,1.27,1.27,1.27
2019-04-03,1.289,1.289,1.289,1.289
2019-04-04,1.352,1.352,1.352,1.352
2019-04-05,1.245,1.245,1.245,1.245
2019-04-08,1.255,1.255,1.255,1.255
2019-04-09,1.289,1.289,1.289,1.289
2019-04-10,1.244,1.244,1.244,1.244
2019-04-11,1.282,1.282,1.282,1.282
2019-04-12,1.198,1.198,1.198,1.198
2019-04-15,1.345,1.345,1.345,1.345
2019-04-16,1.384,1.384,1.384,1.384
2019-04-17,1.303,1.303,1.303,1.303
2019-04-18,1.296,1.296,1.296,1.296
2019-04-19,1.341,1.341,1.341,1.341
2019-04-23,1.3,1.3,1.3,1.3
2019-04-24,1.311,1.311,1.311,1.311
2019-04-25,1.27,1.27,1.27,1.27
2019-04-26,0.95,0.95,0.95,0.95
2019-04-29,1.318,1.318,1.318,1.318
2019-04-30,1.158,1.158,1.158,1.158
2019-05-02,1.312,1.312,1.312,1.312
2019-05-06,1.242,1.242,1.242,1.242
2019-05-07,1.154,1.154,1.154,1.154
2019-05-08,1.244,1.244,1.244,1.244
2019-05-09,1.238,1.238,1.238,1.238
2019-05-10,1.34,1.34,1.34,1.34
2019-05-13,1.324,1.324,1.324,1.324
2019-05-14,1.435,1.435,1.435,1.435
2019-05-15,1.437,1.437,1.437,1.437
2019-05-16,1.412,1.412,1.412,1.412
2019-05-17,1.321,1.321,1.321,1.321
2019-05-20,1.256,1.256,1.256,1.256
2019-05-21,1.248,1.248,1.248,1.248
2019-05-22,1.33,1.33,1.33,1.33
2019-05-23,1.254,1.254,1.254,1.254
2019-05-24,1.206,1.206,1.206,1.206
2019-05-27,1.256,1.256,1.256,1.256
2019-05-28,1.226,1.226,1.226,1.226
2019-05-29,0.702,0.702,0.702,0.702
2019-05-30,1.141,1.141,1.141,1.141
2019-05-31,0.774,0.774,0.774,0.774
2019-06-03,1.233,1.233,1.233,1.233
2019-06-04,1.26,1.26,1.26,1.26
2019-06-05,1.256,1.256,1.256,1.256
2019-06-06,1.228,1.228,1.228,1.228
2019-06-07,1.211,1.211,1.211,1.211
2019-06-10,1.199,1.199,1.199,1.199
2019-06-11,1.189,1.189,1.189,1.189
2019-06-12,1.22,1.22,1.22,1.22
2019-06-13,1.259,1.259,1.259,1.259
2019-06-14,1.203,1.203,1.203,1.203
2019-06-17,1.138,1.138,1.138,1.138
2019-06-18,1.192,1.192,1.192,1.192
2019-06-19,1.211,1.211,1.211,1.211
2019-06-21,1.242,1.242,1.242,1.242
2019-06-24,1.228,1.228,1.228,1.228
2019-06-25,1.232,1.232,1.232,1.232
2019-06-26,1.303,1.303,1.303,1.303
2019-06-27,1.19,1.19,1.19,1.19
2019-06-28,0.74,0.74,0.74,0.74
2019-07-01,1.304,1.304,1.304,1.304
2019-07-02,1.274,1.274,1.274,1.274
2019-07-03,1.287,1.287,1.287,1.287
2019-07-04,1.258,1.258,1.258,1.258
2019-07-05,1.259,1.259,1.259,1.259
2019-07-08,1.161,1.161,1.161,1.161
2019-07-09,1.138,1.138,1.138,1.138
2019-07-10,1.177,1.177,1.177,1.177
2019-07-11,1.234,1.234,1.234,1.234
2019-07-12,1.325,1.325,1.325,1.325
2019-07-15,1.341,1.341,1.341,1.341
2019-07-16,1.313,1.313,1.313,1.313
2019-07-17,1.266,1.266,1.266,1.266
2019-07-18,1.262,1.262,1.262,1.262
2019-07-19,1.228,1.228,1.228,1.228
2019-07-22,1.283,1.283,1.283,1.283
2019-07-23,1.296,1.296,1.296,1.296
2019-07-24,1.294,1.294,1.294,1.294
2019-07-25,1.359,1.359,1.359,1.359
2019-07-26,1.283,1.283,1.283,1.283
2019-07-29,1.055,1.055,1.055,1.055
2019-07-30,1.18,1.18,1.18,1.18
2019-07-31,0.991,0.991,0.991,0.991
2019-08-01,1.3,1.3,1.3,1.3
2019-08-02,1.302,1.302,1.302,1.302
2019-08-05,1.293,1.293,1.293,1.293
2019-08-06,1.297,1.297,1.297,1.297
2019-08-07,1.344,1.344,1.344,1.344
2019-08-08,1.315,1.315,1.315,1.315
2019-08-09,1.438,1.438,1.438,1.438
2019-08-12,1.504,1.504,1.504,1.504
2019-08-13,1.393,1.393,1.393,1.393
2019-08-14,1.433,1.433,1.433,1.433
2019-08-16,1.321,1.321,1.321,1.321
2019-08-19,1.249,1.249,1.249,1.249
2019-08-20,1.268,1.268,1.268,1.268
2019-08-21,1.158,1.158,1.158,1.158
2019-08-22,1.18,1.18,1.18,1.18
2019-08-23,1.22,1.22,1.22,1.22
2019-08-26,1.339,1.339,1.339,1.339
2019-08-27,1.274,1.274,1.274,1.274
2019-08-28,1.074,1.074,1.074,1.074
2019-08-29,0.681,0.681,0.681,0.681
2019-08-30,0.995,0.995,0.995,0.995
2019-09-02,1.268,1.268,1.268,1.268
2019-09-03,1.338,1.338,1.338,1.338
2019-09-04,1.34,1.34,1.34,1.34
2019-09-05,1.288,1.288,1.288,1.288
2019-09-06,1.31,1.31,1.31,1.31
2019-09-09,1.216,1.216,1.216,1.216
2019-09-10,1.247,1.247,1.247,1.247
2019-09-11,1.316,1.316,1.316,1.316
2019-09-12,1.253,1.253,1.253,1.253
2019-09-13,1.25,1.25,1.25,1.25
2019-09-16,1.257,1.257,1.257,1.257
2019-09-17,1.296,1.296,1.296,1.296
2019-09-18,1.21,1.21,1.21,1.21
2019-09-19,1.24,1.24,1.24,1.24
2019-09-20,1.286,1.286,1.286,1.286
2019-09-23,1.201,1.201,1.201,1.201
2019-09-24,1.184,1.184,1.184,1.184
2019-09-25,1.251,1.251,1.251,1.251
2019-09-26,0.941,0.941,0.941,0.941
2019-09-27,1.095,1.095,1.095,1.095
2019-09-30,1.027,1.027,1.027,1.027
2019-10-01,1.358,1.358,1.358,1.358
2019-10-02,1.206,1.206,1.206,1.206
2019-10-03,1.212,1.212,1.212,1.212
2019-10-04,1.279,1.279,1.279,1.279
2019-10-07,1.29,1.29,1.29,1.29
2019-10-08,1.21,1.21,1.21,1.21
2019-10-09,1.253,1.253,1.253,1.253
2019-10-10,1.362,1.362,1.362,1.362
2019-10-11,1.267,1.267,1.267,1.267
2019-10-14,1.253,1.253,1.253,1.253
2019-10-15,1.242,1.242,1.242,1.242
2019-10-16,1.287,1.287,1.287,1.287
2019-10-17,1.244,1.244,1.244,1.244
2019-10-18,1.191,1.191,1.191,1.191
2019-10-21,1.21,1.21,1.21,1.21
2019-10-22,1.189,1.189,1.189,1.189
2019-10-23,1.196,1.196,1.196,1.196
2019-10-24,1.218,1.218,1.218,1.218
2019-10-25,1.253,1.253,1.253,1.253
2019-10-28,1.382,1.382,1.382,1.382
2019-10-29,1.322,1.322,1.322,1.322
2019-10-30,1.229,1.229,1.229,1.229
2019-10-31,1.009,1.009,1.009,1.009
2019-11-04,1.32,1.32,1.32,1.32
2019-11-05,1.362,1.362,1.362,1.362
2019-11-06,1.234,1.234,1.234,1.234
