Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-02-01,1.05243,1.05243,1.05243,1.05243
2019-02-04,1.06093,1.06093,1.06093,1.06093
2019-02-05,1.06643,1.06643,1.06643,1.06643
2019-02-06,1.07246,1.07246,1.07246,1.07246
2019-02-07,1.06232,1.06232,1.06232,1.06232
2019-02-08,1.05906,1.05906,1.05906,1.05906
2019-02-11,1.05208,1.05208,1.05208,1.05208
2019-02-12,1.06068,1.06068,1.06068,1.06068
2019-02-13,1.07076,1.07076,1.07076,1.07076
2019-02-14,1.06106,1.06106,1.06106,1.06106
2019-02-15,1.06426,1.06426,1.06426,1.06426
2019-02-18,1.07281,1.07281,1.07281,1.07281
2019-02-19,1.0792,1.0792,1.0792,1.0792
2019-02-20,1.08398,1.08398,1.08398,1.08398
2019-02-21,1.09829,1.09829,1.09829,1.09829
2019-02-22,1.11298,1.11298,1.11298,1.11298
2019-02-25,1.14839,1.14839,1.14839,1.14839
2019-02-26,1.14016,1.14016,1.14016,1.14016
2019-02-27,1.12954,1.12954,1.12954,1.12954
2019-02-28,1.17558,1.17558,1.17558,1.17558
2019-03-01,1.21353,1.21353,1.21353,1.21353
2019-03-04,1.21589,1.21589,1.21589,1.21589
2019-03-05,1.21774,1.21774,1.21774,1.21774
2019-03-06,1.21946,1.21946,1.21946,1.21946
2019-03-07,1.22271,1.22271,1.22271,1.22271
2019-03-08,1.22457,1.22457,1.22457,1.22457
2019-03-11,1.2369,1.2369,1.2369,1.2369
2019-03-12,1.23451,1.23451,1.23451,1.23451
2019-03-13,1.23247,1.23247,1.23247,1.23247
2019-03-14,1.2314,1.2314,1.2314,1.2314
2019-03-15,1.2309,1.2309,1.2309,1.2309
2019-03-18,1.23465,1.23465,1.23465,1.23465
2019-03-19,1.2358,1.2358,1.2358,1.2358
2019-03-20,1.23833,1.23833,1.23833,1.23833
2019-03-21,1.23891,1.23891,1.23891,1.23891
2019-03-22,1.24037,1.24037,1.24037,1.24037
2019-03-25,1.24638,1.24638,1.24638,1.24638
2019-03-26,1.25649,1.25649,1.25649,1.25649
2019-03-27,1.26872,1.26872,1.26872,1.26872
2019-03-28,1.27372,1.27372,1.27372,1.27372
2019-03-29,1.27215,1.27215,1.27215,1.27215
2019-04-01,1.24113,1.24113,1.24113,1.24113
2019-04-02,1.2406,1.2406,1.2406,1.2406
2019-04-03,1.24154,1.24154,1.24154,1.24154
2019-04-04,1.23849,1.23849,1.23849,1.23849
2019-04-05,1.24055,1.24055,1.24055,1.24055
2019-04-08,1.23361,1.23361,1.23361,1.23361
2019-04-09,1.23432,1.23432,1.23432,1.23432
2019-04-10,1.23601,1.23601,1.23601,1.23601
2019-04-11,1.22408,1.22408,1.22408,1.22408
2019-04-12,1.22483,1.22483,1.22483,1.22483
2019-04-15,1.21297,1.21297,1.21297,1.21297
2019-04-16,1.21714,1.21714,1.21714,1.21714
2019-04-17,1.22224,1.22224,1.22224,1.22224
