Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-04-01,1.16994,1.16994,1.16994,1.16994
2019-04-02,1.17057,1.17057,1.17057,1.17057
2019-04-03,1.17061,1.17061,1.17061,1.17061
2019-04-04,1.17142,1.17142,1.17142,1.17142
2019-04-05,1.17345,1.17345,1.17345,1.17345
2019-04-08,1.1718,1.1718,1.1718,1.1718
2019-04-09,1.17124,1.17124,1.17124,1.17124
2019-04-10,1.17076,1.17076,1.17076,1.17076
2019-04-11,1.16995,1.16995,1.16995,1.16995
2019-04-12,1.17122,1.17122,1.17122,1.17122
2019-04-15,1.16844,1.16844,1.16844,1.16844
2019-04-16,1.17013,1.17013,1.17013,1.17013
2019-04-17,1.17223,1.17223,1.17223,1.17223
2019-04-18,1.17464,1.17464,1.17464,1.17464
2019-04-19,1.17601,1.17601,1.17601,1.17601
2019-04-23,1.19485,1.19485,1.19485,1.19485
2019-04-24,1.20087,1.20087,1.20087,1.20087
2019-04-25,1.2081,1.2081,1.2081,1.2081
2019-04-26,1.20882,1.20882,1.20882,1.20882
2019-04-29,1.22415,1.22415,1.22415,1.22415
2019-04-30,1.23086,1.23086,1.23086,1.23086
2019-05-02,1.23528,1.23528,1.23528,1.23528
2019-05-06,1.23733,1.23733,1.23733,1.23733
2019-05-07,1.23733,1.23733,1.23733,1.23733
2019-05-08,1.23621,1.23621,1.23621,1.23621
2019-05-09,1.23634,1.23634,1.23634,1.23634
2019-05-10,1.2364,1.2364,1.2364,1.2364
2019-05-13,1.23673,1.23673,1.23673,1.23673
2019-05-14,1.23648,1.23648,1.23648,1.23648
2019-05-15,1.23773,1.23773,1.23773,1.23773
2019-05-16,1.23999,1.23999,1.23999,1.23999
2019-05-17,1.24193,1.24193,1.24193,1.24193
2019-05-20,1.24403,1.24403,1.24403,1.24403
2019-05-21,1.24376,1.24376,1.24376,1.24376
2019-05-22,1.24323,1.24323,1.24323,1.24323
2019-05-23,1.24424,1.24424,1.24424,1.24424
2019-05-24,1.24439,1.24439,1.24439,1.24439
2019-05-27,1.25458,1.25458,1.25458,1.25458
2019-05-28,1.25592,1.25592,1.25592,1.25592
2019-05-29,1.25563,1.25563,1.25563,1.25563
2019-05-30,1.24957,1.24957,1.24957,1.24957
2019-05-31,1.24843,1.24843,1.24843,1.24843
2019-06-03,1.2372,1.2372,1.2372,1.2372
2019-06-04,1.23541,1.23541,1.23541,1.23541
2019-06-05,1.23511,1.23511,1.23511,1.23511
2019-06-06,1.23449,1.23449,1.23449,1.23449
2019-06-07,1.23335,1.23335,1.23335,1.23335
2019-06-10,1.23195,1.23195,1.23195,1.23195
2019-06-11,1.22729,1.22729,1.22729,1.22729
2019-06-12,1.22653,1.22653,1.22653,1.22653
2019-06-13,1.22527,1.22527,1.22527,1.22527
2019-06-14,1.22465,1.22465,1.22465,1.22465
2019-06-17,1.22313,1.22313,1.22313,1.22313
2019-06-18,1.22019,1.22019,1.22019,1.22019
2019-06-19,1.21893,1.21893,1.21893,1.21893
2019-06-21,1.21695,1.21695,1.21695,1.21695
2019-06-24,1.21656,1.21656,1.21656,1.21656
2019-06-25,1.21617,1.21617,1.21617,1.21617
2019-06-26,1.21688,1.21688,1.21688,1.21688
2019-06-27,1.21875,1.21875,1.21875,1.21875
2019-06-28,1.2178,1.2178,1.2178,1.2178
2019-07-01,1.21495,1.21495,1.21495,1.21495
2019-07-02,1.21584,1.21584,1.21584,1.21584
2019-07-03,1.21589,1.21589,1.21589,1.21589
2019-07-04,1.21586,1.21586,1.21586,1.21586
2019-07-05,1.21483,1.21483,1.21483,1.21483
2019-07-08,1.21529,1.21529,1.21529,1.21529
2019-07-09,1.21426,1.21426,1.21426,1.21426
2019-07-10,1.21259,1.21259,1.21259,1.21259
2019-07-11,1.21185,1.21185,1.21185,1.21185
2019-07-12,1.21132,1.21132,1.21132,1.21132
2019-07-15,1.21552,1.21552,1.21552,1.21552
2019-07-16,1.21548,1.21548,1.21548,1.21548
2019-07-17,1.2147,1.2147,1.2147,1.2147
2019-07-18,1.21429,1.21429,1.21429,1.21429
2019-07-19,1.21391,1.21391,1.21391,1.21391
2019-07-22,1.21448,1.21448,1.21448,1.21448
2019-07-23,1.20954,1.20954,1.20954,1.20954
2019-07-24,1.2095,1.2095,1.2095,1.2095
2019-07-25,1.20931,1.20931,1.20931,1.20931
2019-07-26,1.21029,1.21029,1.21029,1.21029
2019-07-29,1.2213,1.2213,1.2213,1.2213
2019-07-30,1.2184,1.2184,1.2184,1.2184
2019-07-31,1.21802,1.21802,1.21802,1.21802
2019-08-01,1.2168,1.2168,1.2168,1.2168
2019-08-02,1.21775,1.21775,1.21775,1.21775
2019-08-05,1.22054,1.22054,1.22054,1.22054
2019-08-06,1.21722,1.21722,1.21722,1.21722
2019-08-07,1.21782,1.21782,1.21782,1.21782
2019-08-08,1.21989,1.21989,1.21989,1.21989
2019-08-09,1.22066,1.22066,1.22066,1.22066
2019-08-12,1.22751,1.22751,1.22751,1.22751
2019-08-13,1.22677,1.22677,1.22677,1.22677
2019-08-14,1.22752,1.22752,1.22752,1.22752
2019-08-16,1.22745,1.22745,1.22745,1.22745
2019-08-19,1.22856,1.22856,1.22856,1.22856
2019-08-20,1.22568,1.22568,1.22568,1.22568
2019-08-21,1.22581,1.22581,1.22581,1.22581
2019-08-22,1.22483,1.22483,1.22483,1.22483
2019-08-23,1.22319,1.22319,1.22319,1.22319
2019-08-26,1.22284,1.22284,1.22284,1.22284
2019-08-27,1.22458,1.22458,1.22458,1.22458
2019-08-28,1.22477,1.22477,1.22477,1.22477
2019-08-29,1.22311,1.22311,1.22311,1.22311
2019-08-30,1.22289,1.22289,1.22289,1.22289
2019-09-02,1.23105,1.23105,1.23105,1.23105
2019-09-03,1.2315,1.2315,1.2315,1.2315
2019-09-04,1.23264,1.23264,1.23264,1.23264
2019-09-05,1.23352,1.23352,1.23352,1.23352
2019-09-06,1.23386,1.23386,1.23386,1.23386
2019-09-09,1.23644,1.23644,1.23644,1.23644
2019-09-10,1.23697,1.23697,1.23697,1.23697
2019-09-11,1.23749,1.23749,1.23749,1.23749
2019-09-12,1.23888,1.23888,1.23888,1.23888
2019-09-13,1.23924,1.23924,1.23924,1.23924
2019-09-16,1.23945,1.23945,1.23945,1.23945
2019-09-17,1.24075,1.24075,1.24075,1.24075
2019-09-18,1.24248,1.24248,1.24248,1.24248
2019-09-19,1.24267,1.24267,1.24267,1.24267
2019-09-20,1.24269,1.24269,1.24269,1.24269
2019-09-23,1.24479,1.24479,1.24479,1.24479
2019-09-24,1.24432,1.24432,1.24432,1.24432
2019-09-25,1.24384,1.24384,1.24384,1.24384
2019-09-26,1.24405,1.24405,1.24405,1.24405
2019-09-27,1.2401,1.2401,1.2401,1.2401
2019-09-30,1.23607,1.23607,1.23607,1.23607
2019-10-01,1.24994,1.24994,1.24994,1.24994
2019-10-02,1.25052,1.25052,1.25052,1.25052
2019-10-03,1.24978,1.24978,1.24978,1.24978
2019-10-04,1.24896,1.24896,1.24896,1.24896
2019-10-07,1.24991,1.24991,1.24991,1.24991
2019-10-08,1.24997,1.24997,1.24997,1.24997
2019-10-09,1.2505,1.2505,1.2505,1.2505
2019-10-10,1.25176,1.25176,1.25176,1.25176
2019-10-11,1.25377,1.25377,1.25377,1.25377
2019-10-14,1.25449,1.25449,1.25449,1.25449
2019-10-15,1.25208,1.25208,1.25208,1.25208
2019-10-16,1.251,1.251,1.251,1.251
2019-10-17,1.25072,1.25072,1.25072,1.25072
2019-10-18,1.25048,1.25048,1.25048,1.25048
2019-10-21,1.24854,1.24854,1.24854,1.24854
2019-10-22,1.2487,1.2487,1.2487,1.2487
2019-10-23,1.24768,1.24768,1.24768,1.24768
2019-10-24,1.24659,1.24659,1.24659,1.24659
2019-10-25,1.24576,1.24576,1.24576,1.24576
2019-10-28,1.24486,1.24486,1.24486,1.24486
2019-10-29,1.24503,1.24503,1.24503,1.24503
2019-10-30,1.24794,1.24794,1.24794,1.24794
2019-10-31,1.24847,1.24847,1.24847,1.24847
2019-11-04,1.24053,1.24053,1.24053,1.24053
2019-11-05,1.2393,1.2393,1.2393,1.2393
2019-11-06,1.24006,1.24006,1.24006,1.24006
2019-11-07,1.23937,1.23937,1.23937,1.23937
2019-11-08,1.23725,1.23725,1.23725,1.23725
2019-11-12,1.23013,1.23013,1.23013,1.23013
2019-11-13,1.22754,1.22754,1.22754,1.22754
2019-11-14,1.22571,1.22571,1.22571,1.22571
2019-11-15,1.22531,1.22531,1.22531,1.22531
2019-11-18,1.22292,1.22292,1.22292,1.22292
2019-11-19,1.21785,1.21785,1.21785,1.21785
2019-11-20,1.21593,1.21593,1.21593,1.21593
2019-11-21,1.21414,1.21414,1.21414,1.21414
2019-11-22,1.2127,1.2127,1.2127,1.2127
2019-11-25,1.21215,1.21215,1.21215,1.21215
2019-11-26,1.21272,1.21272,1.21272,1.21272
2019-11-27,1.21094,1.21094,1.21094,1.21094
2019-11-28,1.20745,1.20745,1.20745,1.20745
2019-11-29,1.20307,1.20307,1.20307,1.20307
2019-12-02,1.20552,1.20552,1.20552,1.20552
2019-12-03,1.20567,1.20567,1.20567,1.20567
2019-12-04,1.2052,1.2052,1.2052,1.2052
2019-12-05,1.20433,1.20433,1.20433,1.20433
2019-12-06,1.20407,1.20407,1.20407,1.20407
2019-12-09,1.19786,1.19786,1.19786,1.19786
2019-12-10,1.19717,1.19717,1.19717,1.19717
2019-12-11,1.19658,1.19658,1.19658,1.19658
2019-12-12,1.19509,1.19509,1.19509,1.19509
2019-12-13,1.19516,1.19516,1.19516,1.19516
2019-12-16,1.19314,1.19314,1.19314,1.19314
2019-12-17,1.19241,1.19241,1.19241,1.19241
2019-12-18,1.19068,1.19068,1.19068,1.19068
2019-12-19,1.18659,1.18659,1.18659,1.18659
2019-12-20,1.1788,1.1788,1.1788,1.1788
2019-12-23,1.15996,1.15996,1.15996,1.15996
2019-12-24,1.15365,1.15365,1.15365,1.15365
2019-12-27,1.13536,1.13536,1.13536,1.13536
2019-12-30,1.11804,1.11804,1.11804,1.11804
2019-12-31,1.11541,1.11541,1.11541,1.11541
2020-01-02,1.09894,1.09894,1.09894,1.09894
2020-01-03,1.09658,1.09658,1.09658,1.09658
2020-01-07,1.09199,1.09199,1.09199,1.09199
2020-01-08,1.09008,1.09008,1.09008,1.09008
2020-01-09,1.08761,1.08761,1.08761,1.08761
2020-01-10,1.08407,1.08407,1.08407,1.08407
2020-01-13,1.07432,1.07432,1.07432,1.07432
2020-01-14,1.06575,1.06575,1.06575,1.06575
2020-01-15,1.06129,1.06129,1.06129,1.06129
2020-01-16,1.05737,1.05737,1.05737,1.05737
2020-01-17,1.05312,1.05312,1.05312,1.05312
2020-01-20,1.05277,1.05277,1.05277,1.05277
2020-01-21,1.04864,1.04864,1.04864,1.04864
2020-01-22,1.0483,1.0483,1.0483,1.0483
2020-01-23,1.04706,1.04706,1.04706,1.04706
2020-01-24,1.04484,1.04484,1.04484,1.04484
2020-01-27,1.03922,1.03922,1.03922,1.03922
2020-01-28,1.02863,1.02863,1.02863,1.02863
2020-01-29,1.02417,1.02417,1.02417,1.02417
2020-01-30,1.01828,1.01828,1.01828,1.01828
2020-01-31,1.01719,1.01719,1.01719,1.01719
2020-02-03,1.01392,1.01392,1.01392,1.01392
2020-02-04,1.01645,1.01645,1.01645,1.01645
2020-02-05,1.01474,1.01474,1.01474,1.01474
2020-02-06,1.01321,1.01321,1.01321,1.01321
2020-02-07,1.01314,1.01314,1.01314,1.01314
2020-02-10,1.01717,1.01717,1.01717,1.01717
2020-02-11,1.01933,1.01933,1.01933,1.01933
2020-02-12,1.01173,1.01173,1.01173,1.01173
2020-02-13,1.01151,1.01151,1.01151,1.01151
2020-02-14,1.01147,1.01147,1.01147,1.01147
2020-02-17,1.01647,1.01647,1.01647,1.01647
2020-02-18,1.00848,1.00848,1.00848,1.00848
2020-02-19,1.01024,1.01024,1.01024,1.01024
2020-02-20,1.01184,1.01184,1.01184,1.01184
2020-02-21,1.01281,1.01281,1.01281,1.01281
2020-02-24,1.01973,1.01973,1.01973,1.01973
2020-02-25,1.01585,1.01585,1.01585,1.01585
2020-02-26,1.01586,1.01586,1.01586,1.01586
2020-02-27,1.01626,1.01626,1.01626,1.01626
2020-02-28,1.01695,1.01695,1.01695,1.01695
2020-03-02,1.02514,1.02514,1.02514,1.02514
2020-03-03,1.02343,1.02343,1.02343,1.02343
2020-03-04,1.02162,1.02162,1.02162,1.02162
2020-03-05,1.01933,1.01933,1.01933,1.01933
2020-03-06,1.01706,1.01706,1.01706,1.01706
2020-03-09,1.01557,1.01557,1.01557,1.01557
2020-03-10,1.01594,1.01594,1.01594,1.01594
2020-03-11,1.01457,1.01457,1.01457,1.01457
2020-03-12,1.01442,1.01442,1.01442,1.01442
2020-03-13,1.0138,1.0138,1.0138,1.0138
2020-03-16,1.0023,1.0023,1.0023,1.0023
2020-03-17,0.9995,0.9995,0.9995,0.9995
2020-03-18,0.99482,0.99482,0.99482,0.99482
2020-03-19,0.99204,0.99204,0.99204,0.99204
2020-03-20,0.9914,0.9914,0.9914,0.9914
2020-03-23,0.9847,0.9847,0.9847,0.9847
2020-03-24,0.98302,0.98302,0.98302,0.98302
2020-03-25,0.97692,0.97692,0.97692,0.97692
2020-03-26,0.97144,0.97144,0.97144,0.97144
2020-03-27,0.97822,0.97822,0.97822,0.97822
2020-03-30,0.97135,0.97135,0.97135,0.97135
2020-03-31,0.96649,0.96649,0.96649,0.96649
2020-04-01,0.97002,0.97002,0.97002,0.97002
2020-04-02,0.96623,0.96623,0.96623,0.96623
2020-04-03,0.96242,0.96242,0.96242,0.96242
2020-04-06,0.95349,0.95349,0.95349,0.95349
2020-04-07,0.94097,0.94097,0.94097,0.94097
2020-04-08,0.93631,0.93631,0.93631,0.93631
2020-04-09,0.93099,0.93099,0.93099,0.93099
2020-04-10,0.92383,0.92383,0.92383,0.92383
2020-04-14,0.90015,0.90015,0.90015,0.90015
2020-04-15,0.89497,0.89497,0.89497,0.89497
2020-04-16,0.89021,0.89021,0.89021,0.89021
2020-04-17,0.88475,0.88475,0.88475,0.88475
2020-04-20,0.85624,0.85624,0.85624,0.85624
2020-04-21,0.84687,0.84687,0.84687,0.84687
2020-04-22,0.8359,0.8359,0.8359,0.8359
2020-04-23,0.82549,0.82549,0.82549,0.82549
2020-04-24,0.81591,0.81591,0.81591,0.81591
2020-04-27,0.7913,0.7913,0.7913,0.7913
2020-04-28,0.78448,0.78448,0.78448,0.78448
2020-04-29,0.77475,0.77475,0.77475,0.77475
2020-04-30,0.77012,0.77012,0.77012,0.77012
2020-05-04,0.72679,0.72679,0.72679,0.72679
2020-05-05,0.71498,0.71498,0.71498,0.71498
2020-05-06,0.70235,0.70235,0.70235,0.70235
2020-05-07,0.68954,0.68954,0.68954,0.68954
2020-05-08,0.68241,0.68241,0.68241,0.68241
2020-05-11,0.6395,0.6395,0.6395,0.6395
2020-05-12,0.62672,0.62672,0.62672,0.62672
2020-05-13,0.6143,0.6143,0.6143,0.6143
2020-05-14,0.60217,0.60217,0.60217,0.60217
2020-05-15,0.59725,0.59725,0.59725,0.59725
2020-05-18,0.55293,0.55293,0.55293,0.55293
2020-05-19,0.53981,0.53981,0.53981,0.53981
2020-05-20,0.52681,0.52681,0.52681,0.52681
2020-05-21,0.51405,0.51405,0.51405,0.51405
2020-05-22,0.50888,0.50888,0.50888,0.50888
2020-05-25,0.46184,0.46184,0.46184,0.46184
2020-05-26,0.44793,0.44793,0.44793,0.44793
2020-05-27,0.43526,0.43526,0.43526,0.43526
2020-05-28,0.42494,0.42494,0.42494,0.42494
2020-05-29,0.42106,0.42106,0.42106,0.42106
2020-06-01,0.38905,0.38905,0.38905,0.38905
2020-06-02,0.38532,0.38532,0.38532,0.38532
2020-06-03,0.37357,0.37357,0.37357,0.37357
2020-06-04,0.36159,0.36159,0.36159,0.36159
2020-06-05,0.3505,0.3505,0.3505,0.3505
2020-06-08,0.33314,0.33314,0.33314,0.33314
2020-06-09,0.30535,0.30535,0.30535,0.30535
2020-06-10,0.29258,0.29258,0.29258,0.29258
2020-06-12,0.26854,0.26854,0.26854,0.26854
