date,1M,3M,6M
2014-01-01,1.48,1.76,1.97
2014-02-01,1.45,1.79,2.04
2014-03-01,1.39,1.82,2.03
2014-04-01,1.39,1.72,2.12
2014-05-01,1.29,1.67,2.14
2014-06-01,1.28,1.72,2.07
2014-07-01,1.21,1.65,2
2014-08-01,1.12,1.73,1.99
2014-09-01,1.09,1.73,2
2014-10-01,1.15,1.64,2.06
2014-11-01,1.16,1.65,2.15
2014-12-01,1.22,1.74,2.24
2015-01-01,1.16,1.79,2.34
2015-02-01,1.13,1.83,2.4
2015-03-01,1.05,1.76,2.39
2015-04-01,1.02,1.79,2.38
2015-05-01,1.03,1.79,2.29
2015-06-01,0.99,1.79,2.22
2015-07-01,0.92,1.74,2.21
2015-08-01,0.88,1.65,2.19
2015-09-01,0.94,1.72,2.21
2015-10-01,0.91,1.71,2.3
2015-11-01,0.91,1.62,2.22
2015-12-01,0.93,1.54,2.2
2016-01-01,1.01,1.52,2.29
2016-02-01,1.09,1.54,2.24
2016-03-01,1.16,1.52,2.16
2016-04-01,1.2,1.55,2.07
2016-05-01,1.11,1.45,2.13
2016-06-01,1.06,1.43,2.1
2016-07-01,1.11,1.42,2.05
2016-08-01,1.04,1.44,1.96
2016-09-01,1.01,1.46,1.92
2016-10-01,1,1.45,1.94
2016-11-01,1.09,1.47,1.84
2016-12-01,1.15,1.45,1.75
2017-01-01,1.08,1.41,1.81
2017-02-01,1.08,1.33,1.85
2017-03-01,1.02,1.23,1.9
2017-04-01,0.98,1.32,1.98
2017-05-01,1.05,1.29,2.04
2017-06-01,0.99,1.36,1.97
2017-07-01,1,1.43,1.94
2017-08-01,0.93,1.36,1.99
2017-09-01,0.92,1.4,2
2017-10-01,0.86,1.39,2.07
2017-11-01,0.91,1.33,2.04
2017-12-01,0.83,1.31,2.01
2018-01-01,0.9,1.23,2.05
2018-02-01,0.81,1.23,2.09
2018-03-01,0.74,1.31,2.04
2018-04-01,0.65,1.22,1.99
2018-05-01,0.62,1.3,1.93
2018-06-01,0.64,1.35,1.9
2018-07-01,0.6,1.4,1.86
2018-08-01,0.54,1.44,1.93
2018-09-01,0.59,1.51,1.92
2018-10-01,0.65,1.45,1.93
2018-11-01,0.65,1.54,2.01
2018-12-01,0.71,1.53,2.09
2019-01-01,0.75,1.57,2.15
2019-02-01,0.75,1.63,2.23
2019-03-01,0.72,1.54,2.22
2019-04-01,0.69,1.61,2.25
2019-05-01,0.69,1.68,2.3
2019-06-01,0.59,1.69,2.3
2019-07-01,0.67,1.62,2.28
2019-08-01,0.74,1.65,2.25
2019-09-01,0.65,1.64,2.23
2019-10-01,0.6,1.73,2.3
2019-11-01,0.6,1.83,2.38
2019-12-01,0.58,1.81,2.35
2020-01-01,0.55,1.79,2.29
2020-02-01,0.53,1.89,2.33
2020-03-01,0.45,1.86,2.23
2020-04-01,0.45,1.8,2.26
2020-05-01,0.49,1.88,2.18
2020-06-01,0.39,1.86,2.27
2020-07-01,0.41,1.87,2.3
2020-08-01,0.42,1.87,2.29
2020-09-01,0.41,1.9,2.22
2020-10-01,0.39,1.97,2.14
2020-11-01,0.34,1.91,2.09
2020-12-01,0.35,1.96,2.18
2021-01-01,0.34,1.99,2.1
2021-02-01,0.32,1.93,2.03
2021-03-01,0.41,2.01,2
2021-04-01,0.46,1.92,2.03
2021-05-01,0.45,1.85,2.04
2021-06-01,0.52,1.9,2.11
2021-07-01,0.46,1.86,2.13
2021-08-01,0.44,1.86,2.21
2021-09-01,0.37,1.84,2.15
2021-10-01,0.34,1.9,2.14
2021-11-01,0.41,1.95,2.22
2021-12-01,0.37,1.95,2.17
2022-01-01,0.53,2.16,2.44
2022-02-01,0.74,2.47,2.6
2022-03-01,0.75,2.84,2.87
2022-04-01,0.74,3.02,3.28
2022-05-01,0.92,2.97,3.63
2022-06-01,1.11,3.31,4.05
2022-07-01,1.31,3.46,4.39
2022-08-01,1.35,3.65,4.7
2022-09-01,1.38,3.83,4.93
2022-10-01,1.74,4.11,5.16
2022-11-01,2.09,4.25,5.42
2022-12-01,2.23,4.54,5.85
2023-01-01,2.46,4.48,5.9
2023-02-01,2.54,4.81,6.02
2023-03-01,2.71,4.92,6.19
2023-04-01,3.03,5.23,6.49
2023-05-01,3.07,5.52,6.6
2023-06-01,3.37,5.51,6.97
2023-07-01,3.74,5.63,7.14
2023-08-01,3.94,6.01,7.53
2023-09-01,4.13,6.18,7.74
2023-10-01,4.14,6.19,8.1
2023-11-01,4.45,6.45,8.02
2023-12-01,4.83,6.54,8.32
2024-01-01,4.7,6.53,8.1
2024-02-01,4.6,6.41,8
2024-03-01,4.39,6.35,7.83
2024-04-01,4.39,6.17,7.72
2024-05-01,4.24,6.15,7.71
2024-06-01,4.18,5.97,7.59
2024-07-01,4.08,6.02,7.51
2024-08-01,4,5.94,7.46
2024-09-01,4,5.84,7.41
2024-10-01,3.81,5.65,7.33
2024-11-01,3.83,5.61,7.11
2024-12-01,3.82,5.41,6.94
2025-01-01,3.67,5.32,6.7
2025-02-01,3.4,5.22,6.69
2025-03-01,3.32,5.05,6.52
2025-04-01,3.22,4.88,6.38
2025-05-01,3.19,4.77,6.35
2025-06-01,3.1,4.51,6.15
2025-07-01,3.06,4.25,5.91
2025-08-01,2.99,4.28,5.82
2025-09-01,2.87,4.18,5.73
2025-10-01,2.84,4.1,5.55
2025-11-01,2.75,4.08,5.56
2025-12-01,2.61,3.92,5.5
2026-01-01,2.6,3.85,5.43
2026-02-01,2.51,3.86,5.32
2026-03-01,2.41,3.64,5.2
