date,O/N,1M,3M,6M,1Y
1995-01-02,,28.58,29.06,,
1995-01-03,,28.52,28.74,,
1995-01-04,,28.38,28.9,,
1995-01-05,,28.14,28.78,,
1995-01-06,,28.42,29.11,,
1995-01-09,,28.4,28.9,,
1995-01-10,,28.96,29.14,,
1995-01-11,,28.76,28.92,,
1995-01-12,,28.47,28.86,,
1995-01-13,,28.45,28.87,,
1995-01-16,,28.45,29.01,,
1995-01-17,,28.49,29.14,,
1995-01-18,,29.2,28.84,,
1995-01-19,,28.22,28.78,,
1995-01-20,,28,28.4,,
1995-01-23,,28.07,28.65,,
1995-01-24,,27.92,28.32,,
1995-01-25,,28.23,28.73,,
1995-01-26,,28.46,28.79,,
1995-01-27,,29.05,29.49,,
1995-01-30,,28.72,29.11,,
1995-01-31,,27.88,28.61,,
1995-02-01,,27.91,28.28,,
1995-02-02,,28.71,28.95,,
1995-02-03,,28.48,28.59,,
1995-02-06,,28.54,29.17,,
1995-02-07,,28.27,28.69,,
1995-02-08,,28.4,28.79,,
1995-02-09,,28.16,28.59,,
1995-02-10,,28.12,28.48,,
1995-02-13,,28.19,28.66,,
1995-02-14,,28.26,28.62,,
1995-02-15,,28.35,28.77,,
1995-02-16,,28.34,28.67,,
1995-02-17,,28.27,28.56,,
1995-02-20,,27.4,28.4,,
1995-02-21,,29.65,30.06,,
1995-02-22,,29.34,29.63,,
1995-02-23,,29.25,29.68,,
1995-02-24,,30.93,30.29,,
1995-02-27,,29.88,30.22,,
1995-02-28,,29.96,30.08,,
1995-03-01,,30.15,30.28,,
1995-03-02,,28.9,28.9,,
1995-03-03,,29.97,30.4,,
1995-03-06,,29.93,30.44,,
1995-03-07,,30,30.27,,
1995-03-08,,28.3,28.35,,
1995-03-09,,30.01,30.04,,
1995-03-10,,29.93,30.37,,
1995-03-13,,30.03,30.37,,
1995-03-14,,30.12,30.44,,
1995-03-15,,29.94,30.35,,
1995-03-16,,29.83,30.14,,
1995-03-17,,30.06,30.32,,
1995-03-20,,29.4,29.4,,
1995-03-21,,30.12,30.24,,
1995-03-22,,30.04,30.32,,
1995-03-23,,30,30.35,,
1995-03-24,,29.76,29.88,,
1995-03-27,,30.17,30.4,,
1995-03-28,,30.39,30.63,,
1995-03-29,,30.22,30.43,,
1995-03-30,,30.49,30.74,,
1995-03-31,,30.28,30.44,,
1995-04-03,,30.16,30.34,,
1995-04-04,,29.76,29.85,,
1995-04-05,,29.72,30.26,,
1995-04-06,,29.94,30.21,,
1995-04-07,,29.81,30.01,,
1995-04-10,,29.07,29.4,,
1995-04-11,,29.79,30.1,,
1995-04-12,,30.16,30.26,,
1995-04-13,,30.05,30.34,,
1995-04-18,,28.7,29.3,,
1995-04-19,,29.04,29.32,,
1995-04-20,,29.11,29.44,,
1995-04-21,,29.12,29.24,,
1995-04-24,,28.91,29.15,,
1995-04-25,,28.74,29.02,,
1995-04-26,,28.98,29.17,,
1995-04-27,,28.83,29.09,,
1995-04-28,,29.57,29.93,,
1995-05-01,,29.57,29.93,,
1995-05-02,,29.57,29.93,,
1995-05-03,,29.57,29.93,,
1995-05-04,,28.45,28.73,,
1995-05-05,,28.73,28.84,,
1995-05-09,,28.4,28.58,,
1995-05-10,,27.84,28.02,,
1995-05-11,,27.86,28.07,,
1995-05-12,,28.31,28.54,,
1995-05-15,,28.25,28.51,,
1995-05-16,,27.87,27.98,,
1995-05-17,,27.96,28.03,,
1995-05-18,,28.01,28.22,,
1995-05-19,,27.88,27.88,,
1995-05-22,,27.75,27.91,,
1995-05-23,,27.91,28.1,,
1995-05-24,,27.64,27.8,,
1995-05-25,,27.74,27.91,,
1995-05-26,,27.73,27.82,,
1995-05-30,,27.33,27.51,,
1995-05-31,,27.51,27.63,,
1995-06-01,,27.27,27.38,,
1995-06-02,,27.33,27.45,,
1995-06-05,,27.36,27.46,,
1995-06-06,,27.55,27.64,,
1995-06-07,,27.47,27.46,,
1995-06-08,,27.42,27.41,,
1995-06-09,,27.45,27.47,,
1995-06-12,,27.44,27.69,,
1995-06-13,,27.37,27.43,,
1995-06-14,,27.49,27.8,,
1995-06-15,,27.49,27.8,,
1995-06-16,,27.405,27.56,,
1995-06-19,,26.96,27.13,,
1995-06-20,,26.99,27.28,,
1995-06-21,,26.96,27.18,,
1995-06-22,,27.24,27.21,,
1995-06-23,,26.95,26.95,,
1995-06-26,,27.39,27.37,,
1995-06-27,,27.35,27.49,,
1995-06-28,,27.3,27.38,,
1995-06-29,,27.24,27.37,,
1995-06-30,,27.61,27.68,,
1995-07-03,,27.8,27.78,,
1995-07-04,,27.44,27.59,,
1995-07-05,,27.58,27.58,,
1995-07-06,,26.94,26.99,,
1995-07-07,,27.7,27.27,,
1995-07-10,,27.71,27.63,,
1995-07-11,,27.54,27.58,,
1995-07-12,,27.69,27.74,,
1995-07-13,,27.56,27.42,,
1995-07-14,,27.64,27.54,,
1995-07-17,,27.64,27.75,,
1995-07-18,,27.63,27.91,,
1995-07-19,,27.51,27.52,,
1995-07-20,,27.66,27.85,,
1995-07-21,,27.95,27.9,,
1995-07-24,,27.6,27.91,,
1995-07-25,,27.5,27.49,,
1995-07-26,,26.85,26.76,,
1995-07-27,,27.36,27.46,,
1995-07-28,,27.37,27.5,,
1995-07-31,,27.26,27.18,,
1995-08-01,,27.34,27.46,,
1995-08-02,,26.9,26.97,,
1995-08-03,,26.92,26.87,,
1995-08-04,,26.9,26.86,,
1995-08-07,,26.88,26.81,,
1995-08-08,,26.8,26.64,,
1995-08-09,,26.81,26.67,,
1995-08-10,,26.77,26.62,,
1995-08-11,,26.83,26.75,,
1995-08-14,,26.83,26.75,,
1995-08-15,,26.83,26.75,,
1995-08-16,,26.85,26.67,,
1995-08-17,,26.79,26.7,,
1995-08-18,,26.82,26.79,,
1995-08-21,,26.7,26.58,,
1995-08-22,,26.72,26.65,,
1995-08-23,,26.77,26.63,,
1995-08-24,,26.755,26.6,,
1995-08-25,,26.74,26.57,,
1995-08-29,,26.74,26.67,,
1995-08-30,,26.73,26.62,,
1995-08-31,,26.75,26.58,,
1995-09-01,,26.77,26.51,,
1995-09-04,,26.83,26.66,,
1995-09-05,,26.76,26.55,,
1995-09-06,,26.76,26.64,,
1995-09-07,,26.76,26.64,,
1995-09-08,,26.73,26.54,,
1995-09-11,,26.61,26.49,,
1995-09-12,,26.61,26.49,,
1995-09-13,,26.72,26.5,,
1995-09-14,,26.63,26.45,,
1995-09-15,,26.63,26.45,,
1995-09-18,,26.03,26.03,,
1995-09-19,,26.03,26.03,,
1995-09-20,,25.84,25.91,,
1995-09-21,,25.77,25.78,,
1995-09-22,,25.73,25.77,,
1995-09-25,,25.73,25.77,,
1995-09-26,,25.78,25.66,,
1995-09-27,,25.85,25.77,,
1995-09-28,,25.73,25.7,,
1995-09-29,,25.95,25.82,,
1995-10-02,,25.8,25.68,,
1995-10-03,,25.73,25.67,,
1995-10-04,,25.66,25.43,,
1995-10-05,,25.69,25.64,,
1995-10-06,,25.66,25.6,,
1995-10-09,,25.78,25.68,,
1995-10-10,,25.68,25.65,,
1995-10-11,,25.9,25.9,,
1995-10-12,,25.8,25.61,,
1995-10-13,,25.81,25.64,,
1995-10-16,,25.821,25.48,,
1995-10-17,,25.68,25.63,,
1995-10-18,,25.76,25.85,,
1995-10-19,,25.68,25.68,,
1995-10-20,,25.7,25.67,,
1995-10-23,,25.67,25.66,,
1995-10-24,,25.73,25.7,,
1995-10-25,,25.69,25.7,,
1995-10-26,,25.85,25.66,,
1995-10-27,,25.83,25.65,,
1995-10-30,,25.69,25.67,,
1995-10-31,,25.68,25.66,,
1995-11-01,,25.68,25.66,,
1995-11-02,,25.7,25.63,,
1995-11-03,,25.74,25.69,,
1995-11-06,,25.69,25.64,,
1995-11-07,,25.68,25.6,,
1995-11-08,,25.76,25.88,,
1995-11-09,,25.68,25.62,,
1995-11-10,,25.79,25.64,,
1995-11-13,,25.73,25.71,,
1995-11-14,,25.68,25.57,,
1995-11-15,,25.67,25.63,,
